,CollectionTime,actualCapital,association,associationDetail,autoBid,bankCapital,bankFunds,bidSecurity,bindingFlag,businessType,companyName,credit,displayFlg,equityVoList,fundCapital,gjlhhFlag,gjlhhTime,gruarantee,inspection,juridicalPerson,locationArea,locationAreaName,locationCity,locationCityName,manageExpense,manageExpenseDetail,newTrustCreditor,officeAddress,oldPlatName,onlineDate,payment,paymode,platBackground,platBackgroundDetail,platBackgroundDetailExpand,platBackgroundExpand,platBackgroundExpandChild,platBackgroundMark,platCode,platEquity,platId,platIsStatic,platName,platNamePin,platStatus,problem,problemTime,rechargeExpense,rechargeExpenseDetail,recordId,recordLicId,registeredCapital,riskCapital,riskFunds,riskReserve,riskcontrol,riskcontrolDetail,riskcontrolDetailArray,securityModel,securityModelCode,securityModelOther,servicePhone,serviceTel,showShuju,transferExpense,transferExpenseDetail,trustCapital,trustCreditor,trustCreditorMonth,trustFunds,tzjPj,vipExpense,vipExpenseDetail,withTzj,withdrawExpense,withdrawExpenseDetail
11,2018/12/20 22:47,10200,1,2016年01月16日加入上海市互联网金融行业协会任理事职务,支持,平安银行,1,-,1,消费金融(5%)、企业信贷(42%)、车贷(40%)、房贷(13%),上海融道网金融信息服务有限公司,3,1,,,0,,,0,周汉,31,上海,3115,浦东,无,,随时,上海市浦东陆家嘴浦电路489号由由燕乔大厦15层,保必贷,2014/9/9,1,借记卡网付,0,国资参股,国资参股,4,国资参股,上海科技创业投资有限公司等持有平台24.21%股份,baobidai,0,1090,1,生菜金融,scjr,1,0,,无,,沪ICP备07003768号-9,,10200,,0,0,1,14年08月获得上海科技创业投资有限公司投资2000.00万元<br/>16年01月获得尚颀资本、云赛创投、宽鼎资产、南通梓恒投资10000.00万元,14年08月获得上海科技创业投资有限公司投资2000.00万元,国有背景担保公司连带责任担保,1,国有背景担保公司连带责任担保,021-66186829,4006389988,1,债转需支付转出本金0.75％,,,,0,,,无,,0,每笔2元,
12,2018/12/20 22:47,10110,1,2015年09月17日加入深圳市互联网金融协会任会员职务<br/>2017年02月27日加入广东互联网金融协会任会员职务<br/>2017年03月25日加入中国互联网金融协会任会员职务,支持,新网银行,1,第三方担保,1,个人信贷(100%),深圳杉汇通互联网金融服务有限公司,1,1,,,1,2015年12月4日,,0,李鹏,44,广东,4403,深圳,10％(杉易贷将收取投资人可获得收益总额的10％作为平台运营费),,1个月,深圳市深南中路国际文化大厦2903A,,2014/9/29,1,借记卡网付,0,上市参股,上市参股,3,上市参股,A股公司杉杉股份持有平台23.34%股份,2375,1,2375,1,杉易贷,syd9,1,0,,免费（暂不收取）,,粤ICP备14070079号-2,,10110,,0,0,0,,,第三方担保,1,第三方担保,0755-82900700,400-6862852,1,无,,,,0,,A,,,0,"2~1999元,2元/每笔，高于2000元，免费(提现2~1999元,2元/每笔提现一笔高于2000元，免费（暂不收取）)",
13,2018/12/20 22:48,15000,1,2017年07月14日加入广东互联网金融协会任理事单位职务,不支持,华兴银行,1,安徽皖弘融资担保,1,个人信贷(20%)、企业信贷(20%)、供应链金融(60%),深圳普汇云通资产管理有限公司,0,1,,,0,,,1,张家玉,44,广东,4403,深圳,无,,不可转让,深圳市南山区科兴科学园B1单元6楼,汇钱庄,2015/8/24,1,借记卡网付,0,国资参股,国资参股,4,国资参股,河南中原金睿建投资产管理有限公司等持有平台99.22%股份,4235,0,4235,1,普汇云通,phyt,1,0,,无,,粤ICP备15066174号,,29000,,0,0,0,,,融资性担保公司,2,,0755-61981788,400-888-9787,1,,,,,0,,,100元/永久有效（普通用户支付100元或在近30天内累计投资满50000元即可升级到VIP1）,,0,无（注意：充值后未投资的资金提现将收取额外0.5％手续费）,
14,2018/12/20 22:56,50000,1,2017年07月07日加入中国互联网金融协会任会员职务,支持,华夏银行,1,第三方垫付,1,个人信贷(100%),爱钱进（北京）信息科技有限公司,5,1,,银行存管存管机构为华夏银行,0,,,1,董祺,11,北京,1101,东城,无费用,,随时,北京市东城区银河SOHOD1座17层,,2014/5/6,1,借记卡网付,2,民营系,风投系,5,,,iqianjin,0,689,1,爱钱进,aqj,1,0,,当用户向爱钱进账户充值时，产生的充值费用由第三方收取，目前由爱钱进垫付。,,京ICP备14017729号,京ICP证150121号,50000,华夏银行,1,0,0,,,第三方垫付,1,第三方垫付,010-62490888,4008128808,0,此项费用只针对散标或债权。如果持有天数不足90天需要扣除每份债权价格2%的服务费；如果持有债权天数超过90天（含），则扣除每份债权价格0.5%的服务费。,,,,0,,,无费用,,0,无费用,
15,2018/12/20 22:57,15000,1,2016年05月25日加入广东互联网金融协会任会长职务<br/>2018年07月01日加入中国互联网金融协会任理事职务,支持,厦门银行,1,-,1,消费金融(60%)、车贷(20%)、房贷(10%)、供应链金融(10%),万惠投资管理有限公司,0,1,,,0,,,1,陈宝国,44,广东,4401,广州,免费,,随时,广州市天河区珠江新城珠江东路16号高德置地冬广场H座9层、34层、39层、40层、42层,PPmoney网贷,2012/12/12,"1,2","借记卡网付,信用卡网付",2,民营系,风投系,5,,,ppmoney,1,498,1,PPmoney网贷,pp,1,0,,免费,,粤ICP备12030634号-13,粤B2-20150286,50000,,0,0,1,"16年12月获得安赐资本粤泰控股投资37500.00万元<br/>18年07月获得国能金汇,国泰道合,明泰资本等投资60000.00万元",16年12月获得安赐资本粤泰控股投资37500.00万元,消费金融公司,1,消费金融公司,020-37796666,10101212,0,,,,,0,,A,,,0,每月享受至少一次免费提现，或者使用积分450分兑换免费提现次数。,
16,2018/12/20 22:57,15000,1,2017年04月10日加入中国互联网金融协会任会员职务,支持,,0,风险准备金,1,其它(5%)、车贷(5%)、房贷(90%),北京易通贷金融信息服务有限公司,2,1,,,0,,,0,王岩,11,北京,1108,海淀,收益的10％,,3个月,北京市海淀区丹棱街1号互联网金融中心7层,,2013/3/15,"1,2","借记卡网付,信用卡网付",0,,民营系,2,,,127,0,127,1,易通贷,ytd2,7,1,2018/8/30,无,,京ICP备11042752号-4,京ICP证140393号,15000,,0,0,0,,,,2,,010-68888586,400-064-5156,0,转让金额的1％,,,,0,,,无,,0,3-5元（100-10000元，手续费3元；10001-50000元，手续费5元),
17,2018/12/20 22:57,5000,1,2015年03月13日加入深圳市互联网金融协会任理事单位职务<br/>2016年03月25日加入中国互联网金融协会任首批会员职务,支持,上海银行,1,第三方担保,1,农村金融(100%),深圳财富农场互联网金融服务有限公司,0,1,,银行存管存管机构为上海银行,0,,,0,郑伟博,44,广东,4403,深圳,免费,,3个月,深圳市南山区南山街道高新科技园南区德赛科技大厦21层,理财农场,2015/3/15,1,借记卡网付,0,上市参股,上市参股,3,上市参股,A股公司诺普信持有平台31.57%股份,3192,1,3192,1,布谷农场,lcnc,1,0,,由第三方支付平台收取充值金额0.2％（现由理财农场平台代为支付，暂不收取）,,粤ICP备15014718号-3,,12000,上海银行,1,0,1,16年07月获得深创投领投投资4000.00万元<br/>16年03月获得A股上市公司“诺普信”及全球著名科学家王俊旗下“曦和资本”投资9000.00万元,16年07月获得深创投领投投资4000.00万元,信息中介,1,信息中介,0755-25361888,400-6038-999,1,转让价格的1％，仅向债权转让人提取,,,,0,,,免费,,0,普通提现：免收手续费；快速提现：按照提现金额的万分之一收取手续费，最低金额2元/笔,
18,2018/12/20 22:57,3000,0,,不支持,广发银行,1,-,1,个人信贷(100%),恒诚科技发展（北京）有限公司,0,1,,,0,,,0,唐宁,11,北京,1105,朝阳,,,3个月,北京市朝阳区建国路91号院9号楼10层1016室,,2012/7/5,1,借记卡网付,0,股权上市,股权上市,3,股权上市,纽交所上市,yirendai,1,85,1,宜人贷,yrd,1,0,,0(充值金额最少为50元。需注意充值金额是否超过的网银支付限额。),,京ICP备15002532号-1,京ICP证150277号,3000,,,0,1,15年12月获得百度公司投资6905.70万元,15年12月获得百度公司投资6905.70万元,,,,,400-6099-400,0,转让达成后，宜人贷向债权出让人收取转让服务费。该费用将在出让人的转让所得金额中自动扣除。当前优惠期内，转让服务费=转让债权的剩余本金×0.2%（千分之二），最低1元。,,,,0,,AA,0(无vip费用),,0,0(无提现费),
19,2018/12/20 22:58,5638,1,2016年03月25日加入中国互联网金融协会任会员单位职务<br/>2014年12月16日加入北京市互联网金融行业协会任创始会员职务,不支持,新安银行,1,引入借款人逾期仲裁机制,1,个人信贷(100%),信用宝金融信息服务（北京）有限公司,0,1,,,0,,,0,李琦玉,11,北京,1101,东城,0,,随时,北京市东城区东中街40号1号楼3层03号-A,,2013/5/1,1,借记卡网付,2,民营系,风投系,5,,,xyb100,0,307,1,信用宝,xyb,1,0,,0,,京ICP备15015561号-2,京B2-20170158,6875,,0,0,1,15年12月获得德同资本、中美创投、朗玛峰投资10000.00万元,15年12月获得德同资本、中美创投、朗玛峰投资10000.00万元,网络个人借贷,1,网络个人借贷,010-64150010,400-070-7663,1,暂不收取,,,,0,,BBB,168/年(服务费折扣、积分累计速度提升、升级送礼金),,0,0（在平台充值的资金出借回款后会增加相应的免提额度，提现免收手续费，否则信用宝将收取您1％的手续费）,
20,2018/12/20 23:00,2000,1,2015年12月25日加入江西省互联网金融协会任理事单位职务,支持,江西银行,1,核心企业进行担保,1,供应链金融(100%),江西小猪金融信息服务有限公司,0,1,,,0,,,0,杨兵,36,江西,3601,南昌,0,,不可转让,江西省南昌市红谷滩新区红谷中大道浦发银行大厦12楼,,2015/3/1,1,借记卡网付,0,国资参股,国资参股,4,国资参股,永州市第二市政工程公司持有平台股份,xiaozhu58,0,2674,1,小猪理财,xzlc,6,1,2018/9/23,0,,赣ICP备16003345号,,10000,,0,0,1,17年02月获得永州市第二市政工程公司投资1000.00万元,17年02月获得永州市第二市政工程公司投资1000.00万元,九重安全保障,1,九重安全保障,0791-83955329,400-836-7676,0,无,,,,0,,,,,0,0,
21,2018/12/20 23:03,8750,1,2016年08月05日加入广东互联网金融协会任会员单位职务,支持,江西银行,1,合作机构担保,1,票据(7%)、车贷(93%),深圳汇海易融互联网金融服务有限公司,0,1,,,0,,,1,林建武,44,广东,4403,深圳,5％（推广期间免费）(投资服务费：按每月的收益5％在还款日收益时自动扣出（推广期间免费）),,3个月,深圳市龙华新区创业路汇海广场B座25F,,2015/12/30,"1,4","借记卡网付,线下充值(无奖励)",0,上市参股,上市参股,3,上市参股,A股公司中青宝等持有平台24%股份,3596,1,3596,1,e融所,ers,1,0,,暂免,,粤ICP备15096910号-1,,10000,,0,0,0,,,合作机构担保,1,合作机构担保,0755-23760605,400-6026622,1,转让价格*0.2％(债权转让费=转让价格*0.2％归平台所有),,,,0,,A,暂无(暂无),,0,,
22,2018/12/20 23:03,6000,1,2016年03月15日加入上海市互联网金融行业协会任会员职务<br/>2017年04月28日加入中国互联网金融协会任会员职务,支持,江西银行,1,资产管理方提供一定比例的风险保证金,1,其它(20%)、车贷(80%),上海捷财金融信息服务有限公司,1,1,,,0,,,1,张慧娟,31,上海,3109,虹口,0,,不可转让,上海市虹口区东余杭路275弄3号,,2014/8/28,1,借记卡网付,0,,民营系,2,,,51jiecai,1,808,1,今日捷财,jrjc,1,0,,0,,沪ICP备14035702号,,6600,,0,0,1,15年10月获得西藏珠峰投资3000.00万元,15年10月获得西藏珠峰投资3000.00万元,第三方保障,1,第三方保障,021-80128095,4008773618,1,0,,,,0,,,0,,0,0,
23,2018/12/20 23:04,5000,1,2017年09月20日加入深圳市互联网金融协会任会员职务<br/>2017年07月14日加入广东互联网金融协会任会员职务,不支持,九江银行,1,-,1,企业信贷(20%)、车贷(20%)、房贷(60%),深圳汇通财富互联网金融服务有限公司,0,1,,,0,,,1,吕胜云,44,广东,4403,深圳,0,,不可转让,深圳市福田区金田路4028号荣超经贸中心4209A,前海财富,2016/1/1,1,借记卡网付,0,国资参股,国资参股,4,国资参股,国本（上海）国际物流有限公司持有平台20%股份,4144,0,4144,1,前海惠农,qhcf1,1,0,,0,,粤ICP备15032743号-1,,5000,,0,0,0,,,,,,0755-88302111,400-9011-966,1,,,,,0,,,0,,0,0,
24,2018/12/20 23:06,5000,0,,不支持,上饶银行,1,第三方合作机构担保和车辆以租代购,1,个人信贷(30%)、车贷(70%),北京荣盛信联信息技术有限公司,0,1,,,0,,,0,古超,11,北京,1105,朝阳,,,3个月,北京市朝阳区光华路4号院东方梅地亚A座1908,,2014/12/26,1,借记卡网付,0,,风投系,5,,,1527,0,1527,1,百金贷,bjd,1,0,,,,京ICP备15008179号,京B2-20170736,11580,,0,0,1,17年08月获得星達（新加坡）集團控股有限公司投资6580.00万元,17年08月获得星達（新加坡）集團控股有限公司投资6580.00万元,第三方合作机构担保,1,第三方合作机构担保,,400-900-2888,0,免费(无),,,,0,,BBB,,,0,不论金额大小，所有提现手续费为3元/笔；,
25,2018/12/20 23:07,5100,1,2017年07月14日加入广东互联网金融协会任会员职务<br/>2016年06月13日加入广州互联网金融协会任副会长职务,支持,徽商银行,1,机构担保，足值质押,1,车贷(20%)、供应链金融(80%),广州礼德互联网金融信息服务有限公司,2,1,,,0,,,1,郑彦森,44,广东,4401,广州,普通质押担保标：普通用户利息的5％，VIP会员0；债权转让后的回款利息收取利息收益的10％,,1个月,广州市天河区珠江东路6号广州周大福金融中心3909-12,,2013/8/28,1,借记卡网付,0,国资参股,国资参股,4,国资参股,中食兆业（北京）食品发展有限公司持有平台股份,leadercf,1,341,1,礼德财富,ldcf1,6,1,2018/7/23,0,,粤ICP备13045008号-1,,10000,,0,0,1,17年11月获得互兴资本投资7500.00万元,17年11月获得互兴资本投资7500.00万元,小贷公司、融资性担保公司、非融资性担保公司,"1,2,3",,020-23388303,400-8808-178,0,普通用户转让金额*0.6％、VIP*0.3％,,,,0,,,188元/6个月（更多特权）,,0,3元/笔，不同等级用户享有不同免费提现次数,
26,2018/12/20 23:07,3000,1,2018年06月22日加入深圳市互联网金融协会任会员职务,支持,厦门国际银行,1,第三方担保,1,个人信贷(100%),深圳达富金融服务有限公司,3,1,,,0,,,1,孙猛,44,广东,4403,深圳,无,,随时,深圳市福田区车公庙泰然九路海松大厦A座7楼,,2013/12/27,1,借记卡网付,2,民营系,风投系,5,,,darenloan,1,715,1,达人贷,drd,1,0,,无,,粤ICP备14026621号,,3000,,0,0,1,17年05月获得珠海市横琴乾元中鼎股权投资合伙企业（有限合伙）投资62.50万元<br/>17年05月获得深圳市前海乾元坤一股权投资基金管理有限公司投资161.46万元<br/>17年05月获得珠海市横琴乾元中鼎股权投资合伙企业（有投资171.88万元,17年05月获得珠海市横琴乾元中鼎股权投资合伙企业（有限合伙）投资62.50万元,,,,0755-83281212,400-080-6686,1,持有30天以内转让2％，30至90天1％，90天以上不收取费用,,,,0,,BB,无,,0,无,
27,2018/12/20 23:12,5000,1,2014年08月14日加入广东互联网金融协会任会员职务,支持,华兴银行,1,核心企业承兑保障，八大环节风控保障；银行存管、电子数据保全保障资金安全；律所提供法律保障,1,供应链金融(100%),贵州泰丰融通金融服务有限公司,0,1,,,0,,,0,史绪磊,52,贵州,5201,贵阳,免费,,不可转让,贵州省贵阳市观山湖区金融城贵阳互联网金融特区大厦2109,,2014/3/20,,,0,,风投系,5,,,eweidai,1,566,1,e微贷,ewd,1,0,,免费,,粤ICP备14009093号,,5000,,0,0,1,14年11月获得志成资本投资1000.00万元<br/>14年11月获得中生金控投资1000.00万元<br/>14年11月获得亨亚集团投资1000.00万元<br/>14年11月获得华盛基金投资1000.00万元,14年11月获得志成资本投资1000.00万元,网络借贷信息中介平台,1,网络借贷信息中介平台,0755-33332399,400-777-5518,1,,,,,0,,,免费,,0,免费,
